U1	I
28.25	13.57
28.27	13.68
28.30	13.57
28.32	13.62
28.35	13.42
28.37	13.49
28.40	13.34
28.42	13.48
28.44	13.29
28.47	13.33
28.49	13.08
28.52	13.18
28.54	13.01
28.57	13.13
28.59	12.90
28.62	13.01
28.64	12.83
28.66	13.01
28.69	12.83
28.71	12.95
28.74	12.72
28.76	12.85
28.79	12.63
28.81	12.75
28.84	12.52
28.86	12.67
28.88	12.49
28.91	12.67
28.93	12.45
28.96	12.59
28.98	12.41
29.01	12.58
29.03	12.37
29.05	12.51
29.08	12.33
29.10	12.52
29.13	12.37
29.15	12.50
29.18	12.32
29.20	12.46
29.23	12.32
29.25	12.52
29.27	12.42
29.30	12.52
29.32	12.39
29.35	12.49
29.37	12.41
29.40	12.53
29.42	12.44
29.45	12.47
29.47	12.40
29.49	12.49
29.52	12.53
29.54	12.64
29.57	12.65
29.59	12.67
29.62	12.65
29.64	12.72
29.67	12.79
29.69	12.83
29.71	12.86
29.74	12.85
29.76	12.91
29.79	12.94
29.81	13.07
29.84	13.12
29.86	13.23
29.89	13.20
29.91	13.30
29.93	13.28
29.96	13.47
29.98	13.44
30.01	13.61
30.03	13.52
30.06	13.68
30.08	13.59
30.10	13.84
30.13	13.81
30.15	14.05
30.18	13.94
30.20	14.17
30.23	14.10
30.25	14.44
30.28	14.36
30.30	14.58
30.32	14.45
30.35	14.72
30.37	14.66
30.40	14.94
30.42	14.83
30.45	15.08
30.47	15.01
30.50	15.26
30.52	15.20
30.54	15.52
30.57	15.46
30.59	15.77
30.62	15.71
30.64	15.98
30.67	15.94
30.69	16.22
30.72	16.11
30.74	16.42
30.76	16.34
30.79	16.63
30.81	16.59
30.84	16.85
30.86	16.80
30.89	17.07
30.91	17.05
30.94	17.37
30.96	17.37
30.98	17.61
31.01	17.61
31.03	17.83
31.06	17.89
31.08	18.14
31.11	18.19
31.13	18.37
31.15	18.40
31.18	18.64
31.20	18.78
31.23	18.99
31.25	19.04
31.28	19.16
31.30	19.27
31.33	19.49
31.35	19.64
31.37	19.77
31.40	19.91
31.42	20.02
31.45	20.15
31.47	20.26
31.50	20.44
31.52	20.58
31.55	20.76
31.57	20.78
31.59	20.97
31.62	21.06
31.64	21.29
31.67	21.35
31.69	21.53
31.72	21.51
31.74	21.73
31.77	21.70
31.79	21.95
31.81	21.94
31.84	22.15
31.86	22.03
31.89	22.26
31.91	22.21
31.94	22.53
31.96	22.47
31.99	22.69
32.01	22.58
32.03	22.89
32.06	22.84
32.08	23.11
32.11	22.95
32.13	23.17
32.16	23.05
32.18	23.32
32.20	23.16
32.23	23.36
32.25	23.22
32.28	23.46
32.30	23.31
32.33	23.58
32.35	23.41
32.38	23.63
32.40	23.49
32.42	23.68
32.45	23.49
32.47	23.67
32.50	23.47
32.52	23.64
32.55	23.43
32.57	23.57
32.60	23.47
32.62	23.65
32.64	23.54
32.67	23.63
32.69	23.46
32.72	23.58
32.74	23.46
32.77	23.55
32.79	23.40
32.82	23.40
32.84	23.23
32.86	23.28
32.89	23.18
32.91	23.19
32.94	23.07
32.96	23.00
32.99	22.86
33.01	22.85
33.04	22.77
33.06	22.75
33.08	22.67
33.11	22.53
33.13	22.45
33.16	22.38
33.18	22.36
33.21	22.27
33.23	22.17
33.26	21.97
33.28	21.92
33.30	21.78
33.33	21.81
33.35	21.66
33.38	21.65
33.40	21.48
33.43	21.48
33.45	21.32
33.47	21.38
33.50	21.19
33.52	21.23
33.55	20.98
33.57	21.00
33.60	20.79
33.62	20.89
33.65	20.69
33.67	20.75
33.69	20.49
33.72	20.60
33.74	20.39
33.77	20.51
33.79	20.27
33.82	20.36
33.84	20.13
33.87	20.26
33.89	20.01
33.91	20.13
33.94	19.94
33.96	20.08
33.99	19.87
34.01	19.99
34.04	19.79
34.06	19.98
34.09	19.79
34.11	19.93
34.13	19.75
34.16	19.90
34.18	19.75
34.21	19.89
34.23	19.69
34.26	19.83
34.28	19.71
34.31	19.88
34.33	19.78
34.35	19.89
34.38	19.76
34.40	19.93
34.43	19.87
34.45	20.05
34.48	19.99
34.50	20.06
34.52	20.02
34.55	20.16
34.57	20.16
34.60	20.33
34.62	20.27
34.65	20.33
34.67	20.36
34.70	20.47
34.72	20.55
34.74	20.64
34.77	20.67
34.79	20.76
34.82	20.85
34.84	20.95
34.87	21.11
34.89	21.18
34.92	21.32
34.94	21.34
34.96	21.44
34.99	21.48
35.01	21.67
35.04	21.70
35.06	21.88
35.09	21.83
35.11	22.03
35.14	22.09
35.16	22.36
35.18	22.38
35.21	22.61
35.23	22.54
35.26	22.82
35.28	22.83
35.31	23.12
35.33	23.10
35.36	23.36
35.38	23.31
35.40	23.66
35.43	23.65
35.45	23.99
35.48	23.92
35.50	24.23
35.53	24.23
35.55	24.56
35.57	24.55
35.60	24.87
35.62	24.83
35.65	25.21
35.67	25.19
35.70	25.51
35.72	25.50
35.75	25.82
35.77	25.83
35.79	26.18
35.82	26.17
35.84	26.53
35.87	26.56
35.89	26.88
35.92	26.88
35.94	27.18
35.97	27.21
35.99	27.57
36.01	27.64
36.04	27.91
36.06	27.96
36.09	28.27
36.11	28.39
36.14	28.74
36.16	28.85
36.19	29.10
36.21	29.21
36.23	29.48
36.26	29.64
36.28	29.94
36.31	30.06
36.33	30.27
36.36	30.39
36.38	30.63
36.41	30.84
36.43	31.11
36.45	31.27
36.48	31.46
36.50	31.64
36.53	31.87
36.55	32.10
36.58	32.31
36.60	32.51
36.62	32.60
36.65	32.79
36.67	32.91
36.70	33.16
36.72	33.34
36.75	33.56
36.77	33.60
36.80	33.87
36.82	33.95
36.84	34.30
36.87	34.34
36.89	34.61
36.92	34.61
36.94	34.87
36.97	34.87
36.99	35.18
37.02	35.12
37.04	35.39
37.06	35.30
37.09	35.58
37.11	35.55
37.14	35.86
37.16	35.83
37.19	36.11
37.21	36.01
37.24	36.31
37.26	36.24
37.28	36.46
37.31	36.29
37.33	36.49
37.36	36.32
37.38	36.53
37.41	36.35
37.43	36.51
37.46	36.38
37.48	36.63
37.50	36.46
37.53	36.68
37.55	36.53
37.58	36.69
37.60	36.51
37.63	36.67
37.65	36.49
37.68	36.62
37.70	36.42
37.72	36.49
37.75	36.23
37.77	36.28
37.80	36.09
37.82	36.16
37.85	35.95
37.87	35.92
37.89	35.68
37.92	35.70
37.94	35.56
37.97	35.53
37.99	35.36
38.02	35.26
38.04	35.08
38.07	35.01
38.09	34.89
38.11	34.79
38.14	34.61
38.16	34.40
38.19	34.25
38.21	34.08
38.24	33.97
38.26	33.80
38.29	33.67
38.31	33.43
38.33	33.30
38.36	33.14
38.38	33.09
38.41	32.88
38.43	32.81
38.46	32.56
38.48	32.52
38.51	32.29
38.53	32.28
38.55	32.04
38.58	32.04
38.60	31.73
38.63	31.71
38.65	31.46
38.68	31.51
38.70	31.26
38.73	31.27
38.75	30.95
38.77	31.01
38.80	30.81
38.82	30.91
38.85	30.63
38.87	30.70
38.90	30.45
38.92	30.62
38.94	30.42
38.97	30.49
38.99	30.25
39.02	30.36
39.04	30.12
39.07	30.26
39.09	30.00
39.12	30.11
39.14	29.90
39.16	30.04
39.19	29.85
39.21	30.00
39.24	29.79
39.26	29.96
39.29	29.78
39.31	29.93
39.34	29.80
39.36	29.99
39.38	29.88
39.41	30.03
39.43	29.88
39.46	30.03
39.48	29.97
39.51	30.18
39.53	30.10
39.56	30.21
39.58	30.16
39.60	30.33
39.63	30.37
39.65	30.55
39.68	30.52
39.70	30.67
39.73	30.68
39.75	30.82
39.78	30.89
39.80	31.00
39.82	31.01
39.85	31.10
39.87	31.14
39.90	31.26
39.92	31.45
39.95	31.62
39.97	31.80
39.99	31.91
40.02	32.06
40.04	32.17
40.07	32.41
40.09	32.49
40.12	32.68
40.14	32.66
40.17	32.85
40.19	32.92
40.21	33.24
40.24	33.32
40.26	33.61
40.29	33.64
40.31	33.97
40.34	34.03
40.36	34.40
40.39	34.44
40.41	34.74
40.43	34.70
40.46	35.04
40.48	35.08
40.51	35.51
40.53	35.50
40.56	35.89
40.58	35.93
40.61	36.35
40.63	36.42
40.65	36.83
40.68	36.87
40.70	37.30
40.73	37.33
40.75	37.78
40.78	37.79
40.80	38.18
40.83	38.24
40.85	38.61
40.87	38.67
40.90	39.09
40.92	39.14
40.95	39.58
40.97	39.70
41.00	40.11
41.02	40.26
41.05	40.71
41.07	40.85
41.09	41.22
41.12	41.35
41.14	41.67
41.17	41.81
41.19	42.15
41.22	42.29
41.24	42.57
41.26	42.70
41.29	43.03
41.31	43.27
41.34	43.62
41.36	43.86
41.39	44.18
41.41	44.42
41.44	44.76
41.46	45.07
41.48	45.37
41.51	45.61
41.53	45.81
41.56	46.01
41.58	46.28
41.61	46.55
41.63	46.78
41.66	47.08
41.68	47.28
41.70	47.57
41.73	47.75
41.75	48.09
41.78	48.31
41.80	48.63
41.83	48.69
41.85	48.95
41.88	49.03
41.90	49.32
41.92	49.40
41.95	49.55
41.97	49.55
42.00	49.74
42.02	49.80
42.05	49.96
42.07	49.96
42.10	49.98
42.12	49.98
42.14	50.00
42.17	50.00
42.19	50.00
42.22	50.00
42.24	50.00
42.27	50.00
42.29	50.00
42.31	50.00
42.34	50.00
42.36	50.00
42.39	50.00
42.41	50.00
42.44	50.00
42.46	50.00
42.49	50.00
42.51	50.00
42.53	50.00
42.56	50.00
42.58	50.00
42.61	50.00
42.63	50.00
42.66	50.00
